(2, 5, 6, 4, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 6, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 6, 8, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 6, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 7, 6, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 7, 9, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 8, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 8, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 9, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 5, 9, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 0, 1, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 0, 3, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 1, 0, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 1, 3, 0), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 3, 0, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 3, 1, 0), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 3, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 3, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 5, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 5, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 7, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 7, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 8, 9, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 8, 10, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 9, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 9, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 10, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 6, 10, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 3, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 3, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 4, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 4, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 6, 3, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 7, 6, 4, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 3, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 3, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 4, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 4, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 6, 3, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 8, 6, 4, 3), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 4, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 4, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 5, 4, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 5, 7, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 7, 4, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 0, 7, 5, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 4, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 4, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 5, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 5, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 6, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 6, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 6, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 6, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 7, 4, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 7, 8, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 7, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 7, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 4, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 6, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 7, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 9, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 8, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 9, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 9, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 9, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 1, 9, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 8, 9, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 8, 10, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 9, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 9, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 10, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 10, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 5, 6, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 5, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 5, 9, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 5, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 6, 5, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 6, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 6, 9, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 6, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 7, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 7, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 5, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 6, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 7, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 9, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 9, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 10, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 10, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 8, 10, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 9, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 4, 10, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 0, 1, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 0, 2, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 0, 4, 1), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 0, 4, 2), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 1, 0, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 1, 4, 0), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 2, 0, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 2, 4, 0), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 0, 1), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 0, 2), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 1, 0), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 2, 0), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 4, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 6, 4, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 6, 8, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 7, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 7, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 7, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 9, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 10, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 10, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 9, 8, 10), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 9, 10, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 10, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 10, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 10, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 10, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(3, 6, 1, 2, 5), ['P', 'D', 'D', 'P', 'P'] 
(3, 6, 1, 5, 2), ['P', 'D', 'D', 'P', 'P'] 
